match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
ad36a434,"Sunday June 27, 2021",21:00,Belgium,h,14 Players,,,,990,2,0,0,17,10,1,4,5,7,0,0,0,71,12,14,46.2
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Cristiano Ronaldo,7.0,"FW,LW",36-142,90,0,0,0,0,2,1,0,0,0,0,0,0,2,4,8,33.3
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Diogo Jota,21.0,LW,24-205,69,0,0,0,1,0,1,2,0,1,0,0,0,3,1,1,50.0
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,André Silva,9.0,"FW,LW",25-233,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Bernardo Silva,10.0,RW,26-321,54,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Bruno Fernandes,11.0,"CM,RW",26-292,36,0,0,0,0,3,0,2,0,1,0,0,0,6,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Renato Sanches,16.0,CM,23-313,77,0,0,0,1,4,0,2,1,0,0,0,0,12,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Sérgio Oliveira,24.0,CM,29-025,13,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,João Moutinho,8.0,CM,34-292,54,0,0,0,1,3,0,1,1,0,0,0,0,7,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,João Félix,23.0,"RW,CM",21-229,36,0,0,0,0,2,0,1,0,1,0,0,0,3,2,0,100.0
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,João Palhinha,26.0,DM,25-353,77,1,0,0,2,1,0,0,0,4,0,0,0,6,1,0,100.0
