match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Mykola Shaparenko,10.0,LW,22-252,27,20,20,0,0,0,4,0,0,0,0,0,0,19,0,1,0,20,0,0,0,18,0,0,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Andriy Yarmolenko,7.0,RW,31-233,90,39,39,0,0,0,11,0,2,0,0,0,0,32,4,3,26,9,1,0,1,27,0,1,1,2
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Oleksandr Zinchenko,17.0,CM,24-180,90,52,52,0,0,0,15,2,0,0,0,0,0,47,3,2,51,1,0,0,0,42,0,2,1,1
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Ruslan Malinovskyi,8.0,CM,28-040,90,38,35,3,2,0,9,2,1,1,1,0,0,33,1,4,32,5,0,0,0,30,0,1,1,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Serhiy Sydorchuk,5.0,DM,30-042,90,36,36,0,0,0,10,1,0,0,0,0,0,30,3,3,6,30,0,0,0,31,0,0,0,3
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Vitaliy Mykolenko,16.0,LB,22-015,90,47,40,7,0,0,11,0,1,0,0,0,0,27,10,10,32,7,1,7,0,33,0,0,1,2
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Mykola Matviyenko,22.0,CB,25-042,90,25,24,1,1,0,3,0,0,0,0,0,0,21,1,3,18,6,1,0,0,23,0,1,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Illia Zabarnyi,13.0,CB,18-285,90,43,40,3,3,0,6,1,0,0,0,0,0,32,4,7,6,32,5,0,0,38,0,1,1,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Oleksandr Karavayev,21.0,RB,29-011,90,56,52,4,1,0,7,3,0,0,0,0,0,43,6,7,5,46,1,3,1,50,0,1,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,Heorhiy Bushchan,1.0,GK,27-013,90,29,17,12,3,0,4,0,0,0,0,0,0,16,2,11,5,20,0,0,4,23,1,0,0,0
0e9919a5,"Sunday June 13, 2021",21:00,Netherlands,a,13 Players,,,,990,449,415,34,10,0,106,11,5,1,1,0,0,355,40,54,205,211,10,10,7,367,1,8,7,9
107fd412,"Monday June 14, 2021",21:00,Spain,h,Álvaro Morata,7.0,FW,28-234,65,23,23,0,0,0,3,1,1,0,0,0,0,17,3,3,5,16,1,0,1,20,0,0,1,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Pablo Sarabia,22.0,RW,29-034,25,19,19,0,0,0,3,0,4,0,0,0,0,14,0,5,18,1,0,0,0,14,0,0,2,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Dani Olmo,19.0,LW,23-038,73,41,40,1,0,0,3,1,4,0,0,0,0,32,4,5,13,26,1,1,0,29,1,0,3,3
107fd412,"Monday June 14, 2021",21:00,Spain,h,Gerard Moreno,9.0,"FW,LW",29-068,17,6,6,0,0,0,1,1,1,0,0,0,0,4,1,1,3,3,0,0,0,4,0,0,1,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Ferrán Torres,11.0,"RW,FW",21-105,73,35,35,0,0,0,3,1,3,0,0,0,0,28,1,6,0,35,0,0,0,27,0,0,2,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Mikel Oyarzabal,21.0,"LW,FW",24-054,17,16,14,2,0,0,2,0,1,0,0,0,0,12,3,1,11,1,2,2,0,12,0,0,3,1
107fd412,"Monday June 14, 2021",21:00,Spain,h,Pedri,26.0,CM,18-201,90,107,104,3,1,0,5,7,0,1,0,0,0,91,5,11,10,96,1,0,0,97,1,1,2,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Koke,8.0,CM,29-157,86,119,111,8,3,0,3,4,5,4,2,1,0,95,7,17,7,109,2,1,0,105,0,0,3,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Fabián Ruiz Peña,17.0,CM,25-072,4,12,12,0,0,0,3,0,0,0,0,0,0,9,2,1,11,0,0,0,0,11,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Rodri,16.0,DM,24-357,65,49,47,2,2,0,4,2,0,0,0,0,0,39,4,6,6,37,4,0,1,46,0,1,2,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Thiago Alcántara,10.0,DM,30-064,25,30,29,1,0,0,4,6,0,1,1,0,0,20,3,7,0,29,0,0,0,23,0,1,1,2
107fd412,"Monday June 14, 2021",21:00,Spain,h,Jordi Alba,18.0,LB,32-085,90,131,122,9,1,0,4,2,5,0,0,0,0,104,15,12,111,11,1,8,0,112,0,1,5,3
107fd412,"Monday June 14, 2021",21:00,Spain,h,Pau Torres,4.0,CB,24-149,90,117,112,5,4,0,5,2,0,0,0,0,0,110,1,6,86,28,1,1,0,111,0,1,4,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Aymeric Laporte,24.0,CB,27-018,90,113,112,1,1,0,0,4,0,0,0,0,0,109,3,1,88,22,2,0,1,113,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,Marcos Llorente,6.0,RB,26-135,90,105,102,3,0,0,6,2,3,0,0,0,0,93,11,1,7,94,0,3,0,94,0,0,4,1
107fd412,"Monday June 14, 2021",21:00,Spain,h,Unai Simón,23.0,GK,24-003,90,23,19,4,0,0,1,0,0,0,0,0,0,22,1,0,2,17,0,1,3,23,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,h,16 Players,,,,990,946,907,39,12,0,50,33,27,6,3,1,0,799,64,83,378,525,15,17,6,841,2,5,33,10
107fd412,"Monday June 14, 2021",21:00,Spain,a,Alexander Isak,11.0,FW,21-266,68,9,9,0,0,0,5,0,0,0,0,0,0,5,1,3,1,6,0,0,0,6,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Viktor Claesson,17.0,FW,29-163,22,2,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Marcus Berg,9.0,FW,34-301,68,14,14,0,0,0,3,1,0,0,0,0,0,9,1,4,2,9,1,0,1,10,0,1,0,2
107fd412,"Monday June 14, 2021",21:00,Spain,a,Robin Quaison,22.0,FW,27-248,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Emil Forsberg,10.0,LM,29-234,83,11,9,2,0,0,2,0,0,1,1,0,0,7,1,3,0,10,0,0,1,8,0,1,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Pierre Bengtsson,5.0,LM,33-063,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Seb Larsson,7.0,RM,36-008,90,21,20,1,1,0,7,1,1,0,0,0,0,10,5,6,1,15,2,0,0,13,0,2,0,2
107fd412,"Monday June 14, 2021",21:00,Spain,a,Albin Ekdal,8.0,DM,31-321,90,10,9,1,1,0,5,0,0,0,0,0,0,9,1,0,0,9,0,0,0,9,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Kristoffer Olsson,20.0,DM,25-349,83,14,14,0,0,0,3,1,1,0,0,0,0,10,1,3,2,10,2,0,0,10,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Jens Cajuste,26.0,DM,21-308,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Ludwig Augustinsson,6.0,LB,27-054,90,11,8,3,0,0,3,0,0,0,0,0,0,4,0,7,8,0,0,3,0,6,0,0,1,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Marcus Danielsson,24.0,CB,32-067,90,10,10,0,0,0,3,0,0,0,0,0,0,3,2,5,4,5,1,0,0,4,0,0,0,1
107fd412,"Monday June 14, 2021",21:00,Spain,a,Victor Lindelöf,3.0,CB,26-332,90,14,9,5,2,0,3,1,0,0,0,0,0,9,2,3,2,9,0,3,0,11,0,0,1,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,Mikael Lustig,2.0,RB,34-183,74,18,9,9,1,0,3,0,0,0,0,0,0,2,2,14,0,9,1,8,0,10,0,1,1,2
107fd412,"Monday June 14, 2021",21:00,Spain,a,Emil Krafth,16.0,RB,26-316,16,5,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,2,0,0,0,1
107fd412,"Monday June 14, 2021",21:00,Spain,a,Robin Olsen,1.0,GK,31-157,90,31,16,15,4,0,0,0,0,0,0,0,0,0,0,31,1,21,0,0,0,5,1,2,0,0
107fd412,"Monday June 14, 2021",21:00,Spain,a,16 Players,,,,990,173,135,38,9,0,38,5,2,1,1,0,0,68,17,88,22,107,9,16,2,94,1,7,3,8
14874531,"Saturday June 19, 2021",21:00,Spain,h,Álvaro Morata,7.0,FW,28-239,86,33,33,0,0,0,14,1,0,0,0,0,0,23,6,4,3,27,2,0,1,27,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,h,Mikel Oyarzabal,21.0,FW,24-059,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
