match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Tkl,TklW,TklDef 3rd,TklMid 3rd,TklAtt 3rd,vsdribTkl,vsdribAttmp,vsdribTkl%,vsdribPast,Press,Succ,%,PressDef 3rd,PressMid 3rd,PressAtt 3rd,Blocks,ShAttmp,ShSv,Pass,Int,Tkl+Int,Clr,Err
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Mario Gavranović,19.0,FW,31-200,7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Xherdan Shaqiri,23.0,AM,29-245,65,1,1,0,1,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,1,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Denis Zakaria,6.0,AM,24-204,25,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Granit Xhaka,10.0,DM,28-258,90,0,0,0,0,0,0,1,0.0,1,5,0,0.0,1,3,1,0,0,0,0,1,1,1,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Remo Freuler,8.0,DM,29-058,90,2,1,1,1,0,0,0,,0,9,2,22.2,2,7,0,2,1,0,1,0,2,1,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Ricardo Rodríguez,13.0,WB,28-291,90,0,0,0,0,0,0,0,,0,3,1,33.3,2,0,1,2,0,0,2,0,0,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Kevin Mbabu,2.0,WB,26-054,90,3,2,1,1,1,1,2,50.0,1,14,2,14.3,8,2,4,1,1,0,0,3,6,3,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Manuel Akanji,5.0,CB,25-328,90,3,3,2,1,0,0,0,,0,9,4,44.4,6,3,0,3,2,0,1,0,3,2,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Fabian Schär,22.0,CB,29-174,90,0,0,0,0,0,0,1,0.0,1,6,2,33.3,2,4,0,2,1,0,1,0,0,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Nico Elvedi,4.0,CB,24-255,90,3,1,2,1,0,1,2,50.0,1,9,3,33.3,5,3,1,0,0,0,0,5,8,3,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,Yann Sommer,1.0,GK,32-177,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
d9eaa85c,"Saturday June 12, 2021",17:00,Wales,a,13 Players,,,,990,13,8,7,5,1,2,7,28.6,5,81,22,27.2,31,32,18,13,7,0,6,10,23,11,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Alexander Isak,11.0,FW,21-281,96,1,1,0,0,1,1,1,100.0,0,10,3,30.0,0,0,10,1,0,0,1,0,1,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Marcus Berg,9.0,"DM,FW",34-316,24,0,0,0,0,0,0,1,0.0,1,8,0,0.0,4,3,1,2,1,0,1,1,1,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Dejan Kulusevski,21.0,FW,21-065,96,0,0,0,0,0,0,0,,0,20,9,45.0,1,4,15,2,0,0,2,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Robin Quaison,22.0,FW,27-263,24,0,0,0,0,0,0,0,,0,10,2,20.0,3,2,5,1,0,0,1,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Emil Forsberg,10.0,LM,29-249,120,0,0,0,0,0,0,1,0.0,1,6,2,33.3,2,3,1,1,0,0,1,2,2,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Seb Larsson,7.0,RM,36-023,96,4,2,2,0,2,1,1,100.0,0,15,7,46.7,1,8,6,3,0,0,3,1,5,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Viktor Claesson,17.0,RM,29-178,24,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,2,2,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Albin Ekdal,8.0,DM,31-336,120,2,0,2,0,0,0,0,,0,17,5,29.4,6,9,2,5,1,0,4,1,3,2,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Kristoffer Olsson,20.0,DM,25-364,100,2,1,0,1,1,1,2,50.0,1,13,4,30.8,1,5,7,2,0,0,2,2,4,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Filip Helander,14.0,"CB,DM",28-068,20,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Ludwig Augustinsson,6.0,LB,27-069,82,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,0,0,0,0,0,0,4,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Pierre Bengtsson,5.0,LB,33-078,38,0,0,0,0,0,0,0,,0,4,0,0.0,2,1,1,0,0,0,0,0,0,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Marcus Danielsson,24.0,"CB,CM",32-082,98,1,0,1,0,0,0,1,0.0,1,12,1,8.3,6,6,0,0,0,0,0,3,4,3,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Victor Lindelöf,3.0,CB,26-347,120,0,0,0,0,0,0,1,0.0,1,10,2,20.0,4,5,1,0,0,0,0,2,2,3,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Mikael Lustig,2.0,RB,34-198,82,0,0,0,0,0,0,0,,0,4,1,25.0,0,4,0,0,0,0,0,0,0,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Emil Krafth,16.0,RB,26-331,38,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,2,1,0,1,0,0,3,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,Robin Olsen,1.0,GK,31-172,120,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,h,17 Players,,,,1298,10,4,5,1,4,3,8,37.5,5,135,39,28.9,33,51,51,19,3,0,16,15,25,21,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Roman Yaremchuk,9.0,FW,25-214,90,1,0,1,0,0,0,0,,0,9,2,22.2,2,3,4,1,0,0,1,0,1,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Artem Besyedin,19.0,FW,25-090,10,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Viktor Tsyhankov,15.0,FW,23-226,20,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Andriy Yarmolenko,7.0,FW,31-249,105,0,0,0,0,0,0,0,,0,11,2,18.2,2,7,2,0,0,0,0,0,0,1,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Artem Dovbyk,26.0,FW,24-008,15,0,0,0,0,0,0,0,,0,5,3,60.0,0,0,5,0,0,0,0,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Mykola Shaparenko,10.0,CM,22-268,60,0,0,0,0,0,0,2,0.0,2,20,4,20.0,8,10,2,2,0,0,2,0,0,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Ruslan Malinovskyi,8.0,CM,28-056,60,1,0,0,1,0,0,0,,0,17,4,23.5,4,11,2,0,0,0,0,0,1,0,0
e07bc7d3,"Tuesday June 29, 2021",20:00,Sweden,a,Serhiy Sydorchuk,5.0,CM,30-058,116,2,1,1,0,1,0,3,0.0,3,17,6,35.3,8,7,2,2,0,0,2,2,4,0,0
