match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,TotTouches,TouchDef Pen,TouchDef 3rd,TouchMid 3rd,TouchAtt 3rd,TouchAtt Pen,TouchLive,DribSucc,DribAtt,DribSucc%,#Playerslost,nutMegs,Carries,CarryTotDist,CarryPrgDist,CarryProg,Carry1/3,CPA,CarryMis,CarryDis,RecTarg,Rec,Rec%,RecProg
2c7de26e,"Monday June 28, 2021",22:00,France,h,Clément Lenglet,5.0,CB,26-011,45,50,7,21,33,1,0,50,0,0,,0,0,31,214,154,7,0,0,0,0,34,34,100.0,0
2c7de26e,"Monday June 28, 2021",22:00,France,h,Kingsley Coman,20.0,LM,25-015,65,36,0,3,14,22,7,36,2,6,33.3,2,0,30,199,136,7,1,5,1,0,30,27,90.0,3
2c7de26e,"Monday June 28, 2021",22:00,France,h,Marcus Thuram,26.0,LM,23-326,10,6,0,1,2,4,1,6,1,2,50.0,1,0,6,78,68,2,1,1,1,0,6,5,83.3,1
2c7de26e,"Monday June 28, 2021",22:00,France,h,Raphaël Varane,4.0,CB,28-064,120,77,11,31,46,3,1,77,0,0,,0,0,53,337,160,4,1,0,0,0,55,55,100.0,0
2c7de26e,"Monday June 28, 2021",22:00,France,h,Hugo Lloris,1.0,GK,34-184,120,33,30,33,0,0,0,24,0,0,,0,0,17,75,29,0,0,0,0,0,13,13,100.0,0
2c7de26e,"Monday June 28, 2021",22:00,France,h,15 Players,,,,1320,818,63,201,429,250,36,769,18,33,54.5,20,4,589,3219,1836,87,28,10,12,15,648,582,89.8,58
2c7de26e,"Monday June 28, 2021",22:00,France,a,Haris Seferović,9.0,FW,29-126,96,40,5,7,22,15,3,37,0,0,,0,0,15,84,12,1,3,0,1,1,42,26,61.9,3
2c7de26e,"Monday June 28, 2021",22:00,France,a,Fabian Schär,22.0,LB,29-190,24,12,2,7,5,2,1,10,0,0,,0,0,7,32,18,0,0,0,1,0,9,8,88.9,0
2c7de26e,"Monday June 28, 2021",22:00,France,a,Breel Embolo,7.0,FW,24-134,79,38,0,7,18,15,6,38,1,4,25.0,2,0,23,145,96,5,0,0,3,0,30,24,80.0,5
2c7de26e,"Monday June 28, 2021",22:00,France,a,Ruben Vargas,11.0,"LM,WB,LB",22-327,41,26,3,7,9,15,2,23,0,4,0.0,0,1,12,55,44,3,1,1,2,1,17,15,88.2,3
2c7de26e,"Monday June 28, 2021",22:00,France,a,Xherdan Shaqiri,23.0,AM,29-261,72,33,1,5,20,12,0,31,0,1,0.0,0,0,22,98,30,1,0,0,2,0,35,26,74.3,4
2c7de26e,"Monday June 28, 2021",22:00,France,a,Mario Gavranović,19.0,"FW,AM",31-216,48,18,0,1,10,7,3,17,1,1,100.0,1,0,11,35,21,4,0,1,3,2,23,14,60.9,4
2c7de26e,"Monday June 28, 2021",22:00,France,a,Granit Xhaka,10.0,DM,28-274,120,98,3,20,69,14,0,94,0,1,0.0,0,1,70,294,127,2,0,0,0,0,82,78,95.1,1
2c7de26e,"Monday June 28, 2021",22:00,France,a,Remo Freuler,8.0,DM,29-074,120,65,3,15,40,12,0,64,0,0,,0,0,37,162,60,2,1,0,0,2,46,44,95.7,2
2c7de26e,"Monday June 28, 2021",22:00,France,a,Steven Zuber,14.0,WB,29-315,78,53,2,8,21,28,5,49,0,1,0.0,0,0,35,257,161,6,2,3,0,4,46,40,87.0,8
2c7de26e,"Monday June 28, 2021",22:00,France,a,Christian Fassnacht,16.0,"RM,FW",27-229,42,18,0,4,7,8,0,18,0,0,,0,0,5,33,18,1,1,0,2,0,18,7,38.9,3
2c7de26e,"Monday June 28, 2021",22:00,France,a,Silvan Widmer,3.0,WB,28-115,72,40,0,5,27,10,0,34,0,0,,0,0,28,128,56,3,2,0,3,0,32,29,90.6,2
2c7de26e,"Monday June 28, 2021",22:00,France,a,Kevin Mbabu,2.0,"RB,WB",26-070,48,29,1,8,17,6,1,26,2,3,66.7,2,1,19,69,35,2,0,1,1,0,19,18,94.7,0
2c7de26e,"Monday June 28, 2021",22:00,France,a,Ricardo Rodríguez,13.0,CB,28-307,86,64,3,16,39,17,1,53,0,0,,0,0,39,282,213,12,1,0,0,0,49,47,95.9,1
2c7de26e,"Monday June 28, 2021",22:00,France,a,Admir Mehmedi,18.0,"FW,LM,CB",30-104,34,26,0,2,13,11,2,24,0,0,,0,0,12,37,13,1,0,0,1,2,16,12,75.0,3
2c7de26e,"Monday June 28, 2021",22:00,France,a,Manuel Akanji,5.0,CB,25-344,120,78,13,50,33,3,2,76,0,0,,0,0,43,306,153,5,1,0,0,1,51,51,100.0,0
2c7de26e,"Monday June 28, 2021",22:00,France,a,Nico Elvedi,4.0,CB,24-271,120,54,13,36,20,1,1,54,0,0,,0,0,24,145,76,4,0,0,0,0,29,29,100.0,0
2c7de26e,"Monday June 28, 2021",22:00,France,a,Yann Sommer,1.0,GK,32-193,120,38,33,38,0,0,0,18,0,0,,0,0,9,36,23,0,0,0,0,0,9,8,88.9,0
2c7de26e,"Monday June 28, 2021",22:00,France,a,17 Players,,,,1320,730,82,236,370,176,27,666,4,15,26.7,5,3,411,2198,1156,52,12,6,19,13,553,476,86.1,39
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Romelu Lukaku,9.0,FW,28-050,90,22,0,0,11,11,7,18,0,1,0.0,0,0,12,37,27,2,0,2,2,2,44,16,36.4,6
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Jeremy Doku,25.0,AM,19-036,90,39,0,6,13,26,5,39,9,13,69.2,9,0,44,292,234,12,3,4,2,4,40,34,85.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Kevin De Bruyne,7.0,"AM,DM",30-004,90,48,0,9,19,28,2,39,1,2,50.0,2,1,32,208,171,6,4,1,2,2,43,29,67.4,3
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Axel Witsel,6.0,DM,32-171,90,49,0,13,30,9,0,47,1,1,100.0,1,0,38,171,58,2,1,0,1,1,42,40,95.2,3
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Youri Tielemans,8.0,DM,24-056,68,28,3,10,9,10,0,28,2,2,100.0,2,0,21,78,48,2,1,0,0,0,21,20,95.2,2
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Dries Mertens,14.0,"AM,DM",34-057,22,7,0,0,1,6,2,6,0,0,,0,0,5,62,41,2,0,0,0,0,6,4,66.7,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Thorgan Hazard,16.0,WB,28-095,90,82,4,26,38,22,4,67,0,0,,0,0,48,235,84,5,0,2,0,0,44,41,93.2,4
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Thomas Meunier,15.0,WB,29-293,69,50,9,28,14,11,0,47,0,1,0.0,0,0,32,168,64,3,2,0,0,1,30,29,96.7,2
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Nacer Chadli,22.0,WB,31-334,4,3,0,1,1,1,1,3,0,0,,0,0,3,9,6,0,0,0,0,0,3,3,100.0,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Dennis Praet,26.0,WB,27-049,17,5,0,1,2,3,0,4,0,0,,0,0,2,13,7,1,1,0,1,0,2,2,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Jan Vertonghen,5.0,CB,34-069,90,71,8,30,39,3,2,70,1,1,100.0,1,0,58,229,71,1,0,0,0,0,56,54,96.4,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Thomas Vermaelen,3.0,CB,35-230,90,65,10,32,34,2,1,65,0,1,0.0,0,0,40,158,54,1,0,0,0,0,44,43,97.7,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Toby Alderweireld,2.0,CB,32-122,90,79,18,36,41,8,2,77,0,1,0.0,1,0,56,255,115,7,4,0,0,0,62,62,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,Thibaut Courtois,1.0,GK,29-052,90,35,34,35,0,0,0,25,0,0,,0,0,19,66,26,0,0,0,0,0,19,18,94.7,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,h,14 Players,,,,990,583,86,227,252,140,26,535,14,23,60.9,16,1,410,1981,1006,44,16,9,8,10,456,395,86.6,23
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Ciro Immobile,17.0,FW,31-132,73,38,1,1,10,30,10,36,0,0,,0,0,31,72,11,0,0,0,7,4,45,30,66.7,12
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Andrea Belotti,9.0,FW,27-194,17,3,0,1,2,0,0,3,0,0,,0,0,1,0,0,0,0,0,0,1,6,1,16.7,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Lorenzo Insigne,10.0,LW,30-028,78,75,2,6,21,54,5,70,1,2,50.0,1,1,66,301,201,12,3,3,2,0,69,63,91.3,4
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Domenico Berardi,11.0,LW,26-335,12,6,0,3,2,1,0,6,0,0,,0,0,3,0,0,0,0,0,1,1,6,4,66.7,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Federico Chiesa,14.0,RW,23-250,89,37,1,5,7,26,7,37,0,3,0.0,0,0,31,108,67,4,0,2,1,2,43,31,72.1,8
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Rafael Tolói,25.0,RW,30-265,1,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Marco Verratti,6.0,CM,28-239,73,98,1,11,46,46,1,94,0,2,0.0,0,0,80,187,89,3,4,0,0,0,81,80,98.8,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Bryan Cristante,16.0,CM,26-121,17,8,0,2,5,1,0,8,0,0,,0,0,3,15,5,0,0,0,0,0,5,4,80.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Nicolò Barella,18.0,CM,24-145,90,47,0,3,27,19,1,47,1,1,100.0,1,0,44,151,64,2,1,0,2,1,48,42,87.5,2
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Jorginho,8.0,DM,29-194,90,85,4,18,47,23,1,82,1,1,100.0,1,0,65,194,91,7,2,0,1,1,63,61,96.8,3
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Leonardo Spinazzola,4.0,LB,28-099,78,56,1,8,33,25,2,52,0,2,0.0,0,0,40,327,260,13,6,1,3,1,46,42,91.3,2
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Emerson Palmieri,13.0,LB,26-333,12,6,2,3,3,0,0,5,0,0,,0,0,4,21,4,0,0,0,0,0,2,2,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Giorgio Chiellini,3.0,CB,36-322,90,47,8,19,29,0,0,45,0,0,,0,0,23,46,23,1,0,0,0,0,26,26,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Leonardo Bonucci,19.0,CB,34-062,90,68,7,30,38,1,1,64,0,0,,0,0,51,266,133,5,0,0,0,0,53,53,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Giovanni Di Lorenzo,2.0,RB,27-332,90,71,5,23,40,16,1,61,0,0,,0,0,35,244,148,6,3,0,1,0,37,36,97.3,1
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,Gianluigi Donnarumma,21.0,GK,22-127,90,28,21,28,0,0,0,22,0,0,,0,0,16,61,26,0,0,0,0,0,11,11,100.0,0
35a9c7dc,"Friday July 2, 2021",21:00,Belgium,a,16 Players,,,,990,674,53,161,311,242,29,633,3,11,27.3,3,1,493,1993,1122,53,19,6,18,11,541,486,89.8,34
415ff832,"Tuesday June 29, 2021",17:00,England,h,Harry Kane,9.0,FW,27-336,90,29,2,2,15,14,3,29,1,1,100.0,1,0,16,91,53,1,1,0,0,1,44,19,43.2,7
415ff832,"Tuesday June 29, 2021",17:00,England,h,Raheem Sterling,10.0,"LW,RW",26-203,90,41,0,5,20,23,2,40,4,7,57.1,4,0,38,196,122,5,2,0,3,2,42,30,71.4,7
415ff832,"Tuesday June 29, 2021",17:00,England,h,Bukayo Saka,25.0,RW,19-297,68,31,1,2,13,19,1,30,1,1,100.0,1,0,27,146,62,4,2,0,2,4,35,25,71.4,3
415ff832,"Tuesday June 29, 2021",17:00,England,h,Jack Grealish,7.0,"LW,RW",25-292,22,7,0,0,4,3,1,7,0,0,,0,0,6,6,3,0,0,0,1,1,12,7,58.3,1
415ff832,"Tuesday June 29, 2021",17:00,England,h,Declan Rice,4.0,DM,22-166,87,55,3,13,40,8,0,55,1,2,50.0,1,0,42,270,106,4,3,0,1,1,46,42,91.3,2
415ff832,"Tuesday June 29, 2021",17:00,England,h,Jordan Henderson,8.0,DM,31-012,3,2,2,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
415ff832,"Tuesday June 29, 2021",17:00,England,h,Kalvin Phillips,14.0,DM,25-209,90,62,3,11,44,10,2,61,0,0,,0,0,43,169,79,4,1,0,0,1,50,47,94.0,4
415ff832,"Tuesday June 29, 2021",17:00,England,h,Luke Shaw,3.0,WB,25-352,90,44,2,12,23,14,1,37,1,1,100.0,1,0,31,108,54,2,2,0,1,0,36,31,86.1,1
415ff832,"Tuesday June 29, 2021",17:00,England,h,Kieran Trippier,12.0,WB,30-283,90,65,1,9,31,27,0,49,0,0,,0,0,38,78,19,1,0,0,0,0,42,38,90.5,1
415ff832,"Tuesday June 29, 2021",17:00,England,h,Harry Maguire,6.0,CB,28-116,90,62,7,22,41,4,3,61,0,0,,0,0,44,269,148,6,0,0,2,0,47,45,95.7,1
415ff832,"Tuesday June 29, 2021",17:00,England,h,John Stones,5.0,CB,27-032,90,61,7,34,33,1,1,61,0,0,,0,0,43,251,135,3,0,0,0,0,48,45,93.8,1
415ff832,"Tuesday June 29, 2021",17:00,England,h,Kyle Walker,2.0,CB,31-032,90,68,5,23,43,5,0,67,0,0,,0,0,50,270,140,8,2,0,0,0,48,47,97.9,0
415ff832,"Tuesday June 29, 2021",17:00,England,h,Jordan Pickford,1.0,GK,27-114,90,37,32,37,0,0,0,29,0,0,,0,0,21,128,59,0,0,0,0,0,20,20,100.0,0
415ff832,"Tuesday June 29, 2021",17:00,England,h,13 Players,,,,990,564,65,172,307,128,14,528,8,12,66.7,8,0,399,1982,980,38,13,0,10,10,470,396,84.3,28
415ff832,"Tuesday June 29, 2021",17:00,England,a,Timo Werner,11.0,FW,25-115,67,19,1,2,7,12,4,18,0,1,0.0,0,0,9,27,14,1,2,0,3,0,26,15,57.7,7
415ff832,"Tuesday June 29, 2021",17:00,England,a,Serge Gnabry,10.0,FW,25-350,23,9,0,0,3,6,0,8,0,1,0.0,1,0,4,9,3,0,0,0,1,0,10,6,60.0,1
415ff832,"Tuesday June 29, 2021",17:00,England,a,Thomas Müller,25.0,LW,31-289,89,41,0,1,27,16,4,39,0,0,,0,0,18,77,48,4,2,0,0,1,47,34,72.3,9
415ff832,"Tuesday June 29, 2021",17:00,England,a,Jamal Musiala,14.0,LW,18-123,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
415ff832,"Tuesday June 29, 2021",17:00,England,a,Kai Havertz,7.0,RW,22-018,90,45,1,6,27,21,3,45,1,3,33.3,1,0,35,224,139,11,4,2,4,2,54,37,68.5,6
415ff832,"Tuesday June 29, 2021",17:00,England,a,Leon Goretzka,18.0,DM,26-143,90,55,3,13,38,10,3,54,1,1,100.0,1,0,35,299,198,6,1,0,1,0,45,40,88.9,2
415ff832,"Tuesday June 29, 2021",17:00,England,a,Toni Kroos,8.0,DM,31-176,90,91,2,25,58,16,3,86,0,1,0.0,0,0,57,242,113,5,3,1,1,2,67,67,100.0,1
415ff832,"Tuesday June 29, 2021",17:00,England,a,Robin Gosens,20.0,WB,26-359,87,42,2,23,14,8,1,33,0,0,,0,0,15,60,5,0,0,0,0,0,28,21,75.0,1
415ff832,"Tuesday June 29, 2021",17:00,England,a,Leroy Sané,19.0,WB,25-169,3,4,0,1,1,3,1,4,0,0,,0,0,3,30,17,1,0,1,0,0,3,3,100.0,1
415ff832,"Tuesday June 29, 2021",17:00,England,a,Joshua Kimmich,6.0,WB,26-141,90,57,3,18,29,12,0,50,0,0,,0,0,33,183,43,3,0,0,1,0,44,38,86.4,2
415ff832,"Tuesday June 29, 2021",17:00,England,a,Antonio Rüdiger,2.0,CB,28-118,90,70,7,43,32,1,0,69,0,0,,0,0,43,246,150,1,0,0,0,0,58,58,100.0,0
415ff832,"Tuesday June 29, 2021",17:00,England,a,Mats Hummels,5.0,CB,32-195,90,95,11,58,45,3,1,94,0,0,,0,0,58,424,282,7,0,0,0,0,74,72,97.3,2
415ff832,"Tuesday June 29, 2021",17:00,England,a,Matthias Ginter,4.0,CB,27-161,86,56,5,35,20,2,0,55,0,0,,0,0,35,106,37,1,0,0,0,0,44,43,97.7,0
415ff832,"Tuesday June 29, 2021",17:00,England,a,Emre Can,23.0,CB,27-168,4,11,0,3,6,3,0,11,0,0,,0,0,5,46,18,2,1,0,0,0,5,5,100.0,0
415ff832,"Tuesday June 29, 2021",17:00,England,a,Manuel Neuer,1.0,GK,35-094,90,48,37,45,3,0,0,42,0,0,,0,0,25,129,46,0,0,0,0,0,31,31,100.0,0
415ff832,"Tuesday June 29, 2021",17:00,England,a,15 Players,,,,990,643,72,273,310,113,20,608,2,7,28.6,3,0,375,2102,1113,42,13,4,11,5,538,470,87.4,32
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Donyell Malen,18.0,FW,22-159,56,21,0,1,8,15,4,21,1,3,33.3,1,0,18,108,62,2,1,0,2,0,30,19,63.3,4
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Quincy Promes,11.0,"LW,FW,WB",29-174,34,19,0,2,5,12,1,18,1,1,100.0,1,0,15,29,11,0,0,0,2,0,25,17,68.0,2
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Memphis Depay,10.0,"FW,CM",27-134,90,52,0,5,20,31,3,42,0,3,0.0,0,0,33,120,63,1,2,0,2,2,67,35,52.2,10
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Georginio Wijnaldum,8.0,"AM,RW,CB",30-228,90,24,1,7,10,7,1,21,1,1,100.0,1,0,14,32,8,0,0,0,1,1,18,10,55.6,1
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Frenkie de Jong,21.0,"DM,CM",24-046,90,63,3,16,42,14,1,63,1,1,100.0,1,0,46,300,149,5,5,1,1,1,53,43,81.1,3
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Marten de Roon,15.0,"DM,CM",30-090,72,44,1,9,30,5,1,43,0,0,,0,0,20,76,34,1,0,0,0,0,19,19,100.0,0
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Wout Weghorst,19.0,"FW,CM",28-324,18,9,0,0,3,6,1,9,0,0,,0,0,1,1,0,0,0,0,0,0,19,7,36.8,0
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Patrick van Aanholt,12.0,"WB,LB",30-302,80,57,2,19,29,15,1,47,0,0,,0,0,32,189,70,2,2,0,1,2,30,27,90.0,1
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Steven Berghuis,7.0,"LB,FW",29-190,10,10,0,0,6,5,1,9,0,0,,0,0,7,44,4,0,0,0,0,0,7,7,100.0,1
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Denzel Dumfries,22.0,"WB,RB",25-070,90,40,2,9,20,15,4,31,2,2,100.0,2,0,22,138,93,4,1,1,0,2,39,17,43.6,1
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Daley Blind,17.0,CB,31-110,80,71,3,32,38,4,0,70,0,0,,0,0,46,194,118,5,0,0,0,0,57,54,94.7,0
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Jurrien Timber,25.0,CB,20-010,10,13,1,6,6,1,0,13,0,1,0.0,0,0,9,67,32,2,0,0,0,0,5,5,100.0,0
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Matthijs de Ligt,3.0,"CB,AM,DM",21-319,51,29,3,16,12,1,1,27,0,0,,0,0,14,54,27,0,0,0,0,1,17,13,76.5,0
437cb418,"Sunday June 27, 2021",18:00,Netherlands,h,Stefan de Vrij,6.0,CB,29-142,90,53,2,21,29,9,0,50,1,1,100.0,1,0,30,179,71,4,3,0,0,3,25,23,92.0,0
