Player,team_name,PTTBper90,PTPressper90,PTSwper90
Nélson Semedo,Portugal,0.0,7.325581395348838,0.3488372093023256
Okay Yokuşlu,Turkey,0.0,7.279411764705883,3.308823529411765
Oleksandr Karavayev,Ukraine ,0.0,5.0625,1.5
Oleksandr Zinchenko,Ukraine ,0.0,10.125,0.9375
Oleksandr Zubkov,Ukraine ,0.0,22.5,0.0
Olivier Giroud,France,0.0,4.285714285714286,0.0
Ondrej Duda,Slovakia,0.0,7.232142857142858,3.616071428571429
Ondřej Čelůstka,Czech Republic,0.0,4.033018867924528,2.1226415094339623
Orkun Kökçü,Turkey ,0.0,8.181818181818182,8.181818181818182
Ousmane Dembélé,France,0.0,0.0,0.0
Owen Wijndal,Netherlands,0.0,5.09433962264151,1.6981132075471697
Ozan Tufan,Turkey,0.0,10.526315789473683,0.5263157894736842
Pablo Sarabia,Spain,0.0,5.33596837944664,0.7114624505928854
Patrick van Aanholt,Netherlands,0.30303030303030304,3.0303030303030303,1.2121212121212122
Patrik Hrošovský,Slovakia ,0.0,4.7368421052631575,2.8421052631578947
Patrik Schick,Czech Republic,0.0,7.425000000000001,0.225
Pau Torres,Spain,0.24861878453038672,6.961325966850828,3.2320441988950277
Paul Pogba,France,0.96,9.600000000000001,2.88
Paulus Arajuuri,Finland,0.0,3.0,0.33333333333333337
Pavel Kadeřábek,Czech Republic ,0.0,5.0,0.0
Paweł Dawidowicz,Poland ,0.0,15.0,0.0
Pedri,Spain,0.5314960629921259,11.87007874015748,3.188976377952756
Pepe,Portugal,0.25,5.0,4.0
Peter Pekarík,Slovakia,0.0,4.267241379310344,0.3879310344827586
Petr Ševčík,Czech Republic,0.0,7.5,2.3684210526315788
Phil Foden,England,0.0,5.454545454545455,1.3636363636363638
Philipp Lienhart,Austria,0.0,1.7307692307692308,1.7307692307692308
Pierre Bengtsson,Sweden ,0.0,5.625,1.875
Pierre Højbjerg,Denmark ,0.0,10.2,1.2000000000000002
Piotr Zieliński,Poland ,0.0,9.204545454545455,1.7045454545454546
Presnel Kimpembe,France,0.0,4.153846153846154,0.6923076923076923
Przemysław Frankowski,Poland ,0.0,8.470588235294118,2.1176470588235294
Przemysław Płacheta,Poland ,0.0,20.76923076923077,0.0
Pyry Soiri,Finland,0.0,16.875,0.0
Péter Gulácsi,Hungary,0.0,2.0,0.0
Quincy Promes,Netherlands,0.0,9.152542372881356,1.5254237288135593
Rafa Silva,Portugal ,1.6981132075471697,5.09433962264151,0.0
Rafael Tolói,Italy ,0.0,6.428571428571428,0.0
Raheem Sterling,England,0.22556390977443608,9.248120300751879,0.0
Raphaël Guerreiro,Portugal,0.0,5.5,0.75
Raphaël Varane,France,0.0,2.076923076923077,1.3846153846153846
Rasmus Schüller,Finland,0.0,9.557522123893806,0.7964601769911505
Reece James,England,0.0,9.0,1.0
Remo Freuler,Switzerland,0.0,11.372549019607844,1.1764705882352942
Renato Sanches,Portugal,0.410958904109589,10.684931506849315,2.4657534246575343
Ricardo Rodríguez,Switzerland,0.0,6.995798319327731,4.159663865546219
Rifat Zhemaletdinov,Russia,0.0,6.0,0.0
Robert Lewandowski,Poland ,0.0,9.333333333333334,1.0
Robin Gosens,Germany ,0.5678233438485805,7.381703470031546,0.8517350157728707
Robin Lod,Finland,1.003717472118959,9.368029739776953,0.0
Robin Olsen,Sweden ,0.0,0.9230769230769231,0.46153846153846156
Robin Quaison,Sweden ,0.0,3.543307086614173,0.0
Rodri,Spain,0.0,18.40909090909091,3.5795454545454546
Roland Sallai,Hungary,0.375,5.25,0.0
Roland Varga,Hungary,0.0,30.0,0.0
Roman Bezus,Ukraine ,0.0,0.0,0.0
Roman Yaremchuk,Ukraine ,0.0,7.5524475524475525,0.2097902097902098
Roman Zobnin,Russia,0.0,7.809917355371901,1.487603305785124
Romelu Lukaku,Belgium ,0.0,3.656884875846501,0.20316027088036115
Ruben Vargas,Switzerland,0.0,4.764705882352941,0.0
Rui Patrício,Portugal,0.0,0.5,0.25
Ruslan Malinovskyi,Ukraine ,1.267605633802817,6.971830985915492,2.2183098591549295
Ryan Christie,Scotland,0.0,12.0,0.0
Ryan Fraser,Scotland ,0.0,4.0,4.0
Ryan Gravenberch,Netherlands ,0.8411214953271028,4.205607476635514,0.0
Róbert Mak,Slovakia,0.0,5.869565217391304,0.391304347826087
Rúben Dias,Portugal,0.25,3.5,3.2499999999999996
Rúben Neves,Portugal,0.0,4.7368421052631575,0.0
Salvatore Sirigu,Italy,0.0,0.0,0.0
Sasa Kalajdzic,Austria ,0.0,8.839285714285714,0.0
Scott McKenna,Scotland ,0.0,7.758620689655173,0.0
Scott McTominay,Scotland ,0.0,10.333333333333334,1.0
Seb Larsson,Sweden ,0.0,5.655737704918033,1.7213114754098362
Serge Gnabry,Germany ,0.0,6.144578313253012,0.36144578313253006
Sergio Busquets,Spain ,0.9278350515463918,11.75257731958763,0.6185567010309279
Serhiy Kryvtsov,Ukraine,0.0,1.7532467532467533,1.168831168831169
Serhiy Sydorchuk,Ukraine ,0.0,6.774193548387097,0.7258064516129032
Silvan Widmer,Switzerland,0.0,7.346938775510203,0.0
Simon Kjær,Denmark ,0.0,5.073529411764706,1.1029411764705883
Stanislav Lobotka,Slovakia,0.0,6.0,4.0
Stefan Ilsanker,Austria ,0.0,0.0,0.0
Stefan Lainer,Austria ,0.0,7.754569190600522,0.7049608355091384
Stefan Ristovski,North Macedonia,0.0,9.0,2.0
Stefan Spirovski,North Macedonia ,0.0,6.0,0.0
Stefan de Vrij,Netherlands,0.0,2.0,1.7142857142857144
